Average : 467.26666666666665  max : 733
Average : 591.6  max : 746
Average : 669.0  max : 766
Average : 645.5333333333333  max : 872
Average : 691.6666666666666  max : 864
Average : 747.7666666666667  max : 933
Average : 813.6  max : 976
Average : 870.9  max : 994
Average : 865.7333333333333  max : 992
Average : 896.0  max : 994
Average : 909.5666666666667  max : 994
Average : 898.5333333333333  max : 992
Average : 919.5666666666667  max : 990
Average : 915.5666666666667  max : 990
Average : 906.0  max : 992
Average : 939.0  max : 990
Average : 925.9333333333333  max : 990
Average : 888.4333333333333  max : 990
Average : 916.8  max : 992
Average : 928.1333333333333  max : 990
Average : 919.6333333333333  max : 993
Average : 900.0  max : 1000
Average : 936.1666666666666  max : 1000
Average : 943.5  max : 1000
Average : 912.1666666666666  max : 1000
Average : 924.4333333333333  max : 1000
Average : 913.8333333333334  max : 1000
Average : 931.1  max : 1000
Average : 884.2  max : 998
Average : 880.4666666666667  max : 1000
Average : 894.9333333333333  max : 1000
Average : 900.0  max : 985
Average : 869.7  max : 990
Average : 921.7666666666667  max : 990
Average : 903.5  max : 992
Average : 911.8666666666667  max : 992
Average : 927.9666666666667  max : 992
Average : 927.4333333333333  max : 1000
Average : 919.5333333333333  max : 1000
Average : 917.2  max : 1000
Average : 910.7333333333333  max : 986
Average : 906.7  max : 1000
Average : 871.0333333333333  max : 998
Average : 895.7666666666667  max : 992
Average : 907.4666666666667  max : 1000
Average : 938.5666666666667  max : 992
Average : 927.7  max : 992
Average : 931.7666666666667  max : 1000
Average : 908.9333333333333  max : 1000
Average : 921.8333333333334  max : 1000
Average : 922.9666666666667  max : 1000
Average : 908.0  max : 1000
Average : 919.1  max : 1000
Average : 907.7666666666667  max : 1000
Average : 929.8333333333334  max : 1000
Average : 915.4666666666667  max : 1000
Average : 939.3666666666667  max : 1000
Average : 920.0  max : 975
Average : 936.1666666666666  max : 1000
Average : 914.7  max : 998
Average : 891.9333333333333  max : 998
Average : 911.8  max : 1000
Average : 921.0  max : 998
Average : 914.3666666666667  max : 999
Average : 943.3666666666667  max : 993
Average : 951.5  max : 993
Average : 930.4333333333333  max : 993
Average : 919.9666666666667  max : 994
Average : 918.5666666666667  max : 994
Average : 927.4333333333333  max : 998
Average : 927.3666666666667  max : 994
Average : 922.9  max : 994
Average : 920.5333333333333  max : 993
Average : 908.4  max : 994
Average : 913.4666666666667  max : 982
Average : 911.9  max : 1000
Average : 915.4333333333333  max : 998
Average : 903.5  max : 992
Average : 923.4666666666667  max : 1000
Average : 928.2333333333333  max : 998
Average : 932.2666666666667  max : 1000
Average : 934.4666666666667  max : 1000
Average : 947.6  max : 1000
Average : 934.8  max : 1000
Average : 924.1333333333333  max : 1000
Average : 937.5333333333333  max : 1000
Average : 929.0  max : 1000
Average : 933.3333333333334  max : 1000
Average : 946.5333333333333  max : 997
Average : 942.4  max : 1000
Average : 943.4333333333333  max : 1000
Average : 934.4  max : 1000
Average : 934.3666666666667  max : 1000
Average : 914.4333333333333  max : 1000
Average : 894.5  max : 1000
Average : 862.6  max : 1000
Average : 894.2  max : 1000
Average : 927.8666666666667  max : 1000
Average : 920.3  max : 1000
Average : 925.8333333333334  max : 1000
Average : 911.9333333333333  max : 1000
